Município,proficiência_simulada,nível_proficiencia,estrategia_pedagogica
Patos de Minas,340.4981881568741,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Patrocínio,297.205307786989,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Pedrinópolis,291.36965085004823,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Perdizes,225.67079722971454,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Pirajuba,309.36901969255234,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Planura,224.51037406428927,Nível Baixo,Bloom: Compreender | Metodologias: Instrução Direta + Ensino Híbrido | DUA: Suporte visual e repetição guiada
Prata,256.91831626364717,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Pratinha,348.42850259548925,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Presidente Olegário,295.9999639781139,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Quartel Geral,283.54246156619695,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Rio Paranaíba,302.6921376484812,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Romaria,326.42778802847147,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Sacramento,316.39998673193674,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Santa Juliana,234.35721079461564,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Santa Rosa da Serra,204.81503658560567,Nível Baixo,Bloom: Compreender | Metodologias: Instrução Direta + Ensino Híbrido | DUA: Suporte visual e repetição guiada
Santa Vitória,247.31795720886228,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
São Francisco de Sales,240.16113139635542,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
São Gonçalo do Abaeté,231.64742653794897,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
São Gotardo,341.4364571502582,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
São Roque de Minas,331.45514397090034,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Serra da Saudade,247.2016821197717,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Serra do Salitre,298.315799794232,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Tapira,259.3447851590996,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Tapiraí,337.18213846108154,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Tiros,268.82777788810984,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Tupaciguara,239.73202497470788,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Uberaba,236.9941261540975,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Uberlândia,284.2052201244726,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
União de Minas,239.4112412784403,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Varjão de Minas,287.6878985335311,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Vazante,334.67343254037155,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Veríssimo,259.9100757710596,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
